Type,Notes,Distance
,NW Highland Dr,0
,NW Crescent Valley Dr,1.7522939103687245
,NW Lewisburg Ave,3.4529359013311067
,NW Sulphur Springs Rd,3.602240347723226
,Soap Creek Rd,7.012776671882722
,Tampico Rd,13.94678864450194
,Berry Creek Rd,20.803278397455372
,Airlie Rd,21.897677725631304
,S Pacific Hwy W,28.496814681514795
,Helmick Rd,29.04587690773401
,Fir Crest Rd,39.622641020472784
,Warren St S,39.73225417441645
,Warren St N,40.06986519060757
,Main St W,40.481388795701676
,Monmouth Ave N,41.81836204652015
,Riddell Rd,41.84785377822692
,Hoffman Rd,43.036038265074126
,Polk St,46.083912666294964
,N Main St,46.618859738644844
,C St,47.03461511675196
,S Main St,48.08976508795945
,River Rd S,48.11345746810284
,Riverside Dr S,48.19738979996001
,Riverside Rd S,55.95043706825076
,Sidney Rd S,56.7147510711094
,Buena Vista Rd S,59.36869074813566
,Buena Vista - Willamette Ferry,63.85478202226259
,Willamette Ferry St,63.9801324836232
,Riverview St,64.14526315777354
,Meridian St,64.438278059623
,Buena Vista Rd,64.95856201259112
,NW Springhill Dr,71.18597030859442
,NW Independence Hwy,72.60319037792546
,NE Pettibone Dr,79.57433982132818
,NE Logsdon Rd,81.65997642163099
,NE Pettibone Dr,81.99114676049757
,NE Granger Ave,83.90829936476096
,NE Elliott Cir,84.4773190167049
,NE Granger Ave,86.976081161242
,Pacific Hwy W,87.52357153155242
,NW 9th St,89.05963213421792
,NW Circle Blvd,89.65134801673439
,NW Highland Dr,89.8050479232847
,NW Spruce Ave,89.8727686369948
